Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,distance,Day,Month,Year,Time_taken (min)
32032,35.0,4.6,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,11.00773476374462,20,3,2022,26
1953,38.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Metropolitian,6.037116126733091,5,3,2022,29
5729,36.0,4.8,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Urban,19.976027554946768,8,3,2022,17
41624,27.0,5.0,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,6.051108888205529,19,3,2022,24
40690,38.0,4.7,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,13.622111101994047,18,2,2022,46
7362,29.0,4.4,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,1.5298767913552258,30,3,2022,16
19484,36.0,4.7,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20.182685858169425,2,3,2022,19
14326,28.0,4.6,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,3.0186622920277366,24,3,2022,18
1698,23.0,4.2,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,11.904934021697455,16,2,2022,36
43767,38.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,8.988056602876895,17,2,2022,29
21286,,,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,7.761726486394692,9,3,2022,31
43747,28.0,4.1,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,19.090710062524995,16,2,2022,40
29733,38.0,4.8,Sunny,Medium,2,Meal,scooter,0.0,No,Urban,10.808376827928305,18,2,2022,28
821,36.0,4.2,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,9.19301447226726,1,4,2022,33
40810,34.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,9.327055824817068,30,3,2022,28
28528,20.0,5.0,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,9.314908769970772,15,3,2022,16
29692,33.0,4.7,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,16.38435115645366,23,3,2022,26
28339,34.0,5.0,Cloudy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,1.509439424217415,30,3,2022,18
45448,28.0,4.5,Sunny,Medium,1,Buffet,scooter,0.0,No,Metropolitian,9.36358545427827,17,2,2022,15
16507,20.0,4.9,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,1.509357191576567,11,3,2022,20
88,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,13.773737657079211,4,4,2022,29
20972,30.0,4.8,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,10.56512884564869,31,3,2022,25
18299,22.0,4.1,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,16.824331819052563,10,3,2022,38
16420,32.0,4.9,Fog,Medium,2,Snack,scooter,1.0,No,Urban,4.657347378001307,5,4,2022,17
40002,,,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,11.916582838287257,23,3,2022,35
40807,25.0,4.8,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,1.5299884479318049,11,3,2022,19
35000,31.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,3.1162479956297124,5,4,2022,30
30059,20.0,4.9,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,19.762371983679323,25,3,2022,25
43875,23.0,4.6,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,19.97420040269076,10,3,2022,33
38091,37.0,4.7,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,1.5099339507379008,15,2,2022,23
27088,35.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Urban,3.018911481757933,30,3,2022,23
14572,39.0,4.8,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,4.596439723177868,1,3,2022,31
24713,20.0,4.8,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,2.979598701342017,13,3,2022,22
17662,,,,,0,Meal,motorcycle,1.0,No,Metropolitian,10.90714015156803,29,3,2022,39
32456,39.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,9.34843343001985,15,3,2022,27
13748,35.0,4.9,Sunny,Low,1,Meal,scooter,,No,Urban,10.70562290349702,8,3,2022,24
45468,28.0,4.7,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,20.286769465746985,18,2,2022,23
32961,36.0,4.5,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,13.392708074822767,12,2,2022,40
33862,20.0,,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,4.6817913310164405,17,2,2022,28
26742,32.0,4.3,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,10.906324615073943,8,3,2022,32
36292,,,Cloudy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,9.079930407559695,11,2,2022,32
27976,39.0,4.5,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Metropolitian,4.464846077192108,17,2,2022,22
