,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Day,Month,Year,distance
0,36.0,4.2,1.0,4.0,2,2,4,3.0,0.0,1.0,46,12,2,2022,10.280582064622465
1,21.0,4.7,2.0,3.0,1,3,4,1.0,0.0,1.0,23,13,2,2022,6.242318682700942
2,23.0,4.7,3.0,2.0,1,1,3,1.0,0.0,1.0,21,4,3,2022,13.787860239172238
3,34.0,4.3,3.0,1.0,0,4,4,0.0,0.0,1.0,20,13,2,2022,2.930257800762021
4,24.0,4.7,1.0,4.0,1,2,3,1.0,0.0,1.0,41,14,2,2022,19.39661829066188
5,29.0,4.5,3.0,4.0,2,4,2,1.0,0.0,1.0,20,2,4,2022,13.763977224427299
6,35.0,4.0,4.0,3.0,1,3,3,1.0,0.0,1.0,33,1,3,2022,6.218001190187312
7,33.0,4.2,3.0,4.0,2,2,4,1.0,0.0,1.0,40,16,3,2022,16.849939918016943
8,34.0,4.9,5.0,4.0,0,2,4,1.0,0.0,1.0,41,20,3,2022,10.757108800258175
9,21.0,4.7,4.0,4.0,0,3,4,1.0,0.0,2.0,15,15,2,2022,4.540574388730574
10,25.0,4.1,3.0,4.0,0,2,4,2.0,0.0,1.0,36,16,3,2022,12.25607644546856
11,31.0,4.7,3.0,1.0,2,3,2,0.0,0.0,1.0,26,10,3,2022,19.61873934880106
12,37.0,5.0,3.0,1.0,1,2,4,1.0,0.0,1.0,20,11,3,2022,1.5581322655562497
13,33.0,4.3,4.0,4.0,2,3,3,1.0,0.0,1.0,39,27,3,2022,20.18063511411397
14,25.0,4.0,5.0,3.0,1,4,4,1.0,0.0,1.0,34,26,3,2022,6.116971669681921
15,29.0,4.5,6.0,2.0,2,3,2,1.0,0.0,1.0,15,27,3,2022,17.075594401072465
16,27.0,5.0,2.0,4.0,0,2,4,0.0,0.0,2.0,18,5,4,2022,4.47028648943395
17,35.0,4.3,5.0,1.0,1,1,3,0.0,0.0,1.0,38,12,3,2022,13.682044526080338
18,32.0,4.0,4.0,4.0,0,4,4,1.0,0.0,1.0,47,16,3,2022,13.97318265391717
19,23.0,4.8,4.0,1.0,2,4,2,0.0,0.0,2.0,12,2,4,2022,16.85361872985407
20,31.0,4.8,3.0,1.0,2,1,4,1.0,0.0,1.0,26,1,4,2022,4.674172124263596
21,36.0,4.1,2.0,1.0,0,1,4,1.0,0.0,2.0,22,5,3,2022,7.601616771071131
22,26.0,4.3,3.0,1.0,0,4,4,0.0,0.0,2.0,21,11,2,2022,7.720324413180035
23,38.0,4.9,5.0,3.0,1,1,3,1.0,0.0,2.0,25,11,2,2022,6.1756362610176
24,32.0,3.5,2.0,4.0,1,2,3,0.0,0.0,2.0,35,8,3,2022,17.29786575291325
25,32.0,4.6,5.0,1.0,2,1,3,1.0,0.0,1.0,30,2,4,2022,19.91468696554527
26,33.0,4.9,6.0,2.0,1,2,4,1.0,0.0,1.0,22,8,3,2022,10.724517748045963
27,20.0,4.7,4.0,3.0,1,2,3,0.0,0.0,2.0,10,3,4,2022,6.127835452843913
28,20.0,4.8,3.0,1.0,2,3,3,1.0,0.0,1.0,19,30,3,2022,1.5203573134015247
29,35.0,5.0,6.0,1.0,2,2,3,1.0,0.0,2.0,11,1,4,2022,3.0734537599374083
30,26.0,4.9,2.0,1.0,2,4,3,0.0,0.0,1.0,11,28,3,2022,3.10513147754577
31,22.0,4.8,1.0,1.0,1,2,4,1.0,0.0,1.0,28,18,3,2022,10.86742683448041
