,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Day,Month,Year
0,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,,12,2,2022
1,21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,,13,2,2022
2,23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,,4,3,2022
3,34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,,13,2,2022
4,24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,,14,2,2022
5,29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,,2,4,2022
6,35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,,1,3,2022
7,33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,,16,3,2022
8,34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,,20,3,2022
9,21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,,15,2,2022
10,25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,,16,3,2022
11,31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,,10,3,2022
12,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,,11,3,2022
13,33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,,27,3,2022
14,25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,,26,3,2022
15,29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,,27,3,2022
16,27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,,5,4,2022
17,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,,12,3,2022
18,32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,,16,3,2022
19,23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,,2,4,2022
20,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,,1,4,2022
21,36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,,5,3,2022
22,26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,,11,2,2022
23,38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,,11,2,2022
24,32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,,8,3,2022
25,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,,2,4,2022
26,33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,,8,3,2022
27,20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,,3,4,2022
28,20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,,30,3,2022
29,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,,1,4,2022
30,26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,,28,3,2022
31,22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,,18,3,2022
32,35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,,14,3,2022
33,,,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,,6,4,2022
34,37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,,4,4,2022
35,28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,,8,3,2022
36,37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,,13,2,2022
37,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,,24,3,2022
38,27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,,19,3,2022
39,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,,9,3,2022
40,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,,19,3,2022
41,31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,,3,4,2022
42,31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,,25,3,2022
43,25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,,13,2,2022
44,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,,4,4,2022
45,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,,26,3,2022
46,24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,,10,3,2022
47,39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,,14,2,2022
48,39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,,2,3,2022
49,32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,,20,,26,3,2022
50,36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,,13,3,2022
51,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,,29,3,2022
52,33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,,30,3,2022
53,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,,12,3,2022
54,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,,31,3,2022
55,36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,,17,3,2022
56,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,,15,2,2022
57,39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,,15,2,2022
58,23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,,7,3,2022
59,35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,,28,3,2022
60,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,,16,3,2022
61,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,,17,3,2022
62,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,,15,3,2022
